RPT_DT,Latitude,Longitude
12/28/2021,40.7623158,-73.827448
12/27/2021,40.87309789,-73.90194706
12/31/2021,40.69062201,-73.9852351
12/27/2021,40.83293161,-73.81981349
12/30/2021,40.74544057,-73.90501485
12/25/2021,40.85907009,-73.89607877
12/24/2021,40.75417103,-73.98250315
12/31/2021,40.68735463,-73.97827669
12/27/2021,40.57564384,-73.95663179
12/23/2021,40.67280542,-73.98328514
12/23/2021,40.82788869,-73.8751915
12/29/2021,40.8621886,-73.89071248
12/30/2021,40.65795792,-73.88266012
12/28/2021,40.70765068,-73.83459044
12/31/2021,40.83933827,-73.89903333
12/26/2021,40.85204556,-73.93174513
12/26/2021,40.84165179,-73.89872261
12/29/2021,40.8162193,-73.91970444
12/30/2021,40.84055694,-73.92841751
12/31/2021,40.6763864,-73.85176376
12/23/2021,40.69050606,-73.96828721
12/22/2021,40.74513549,-73.91137777
12/31/2021,40.85286546,-73.88849389
12/30/2021,40.67109615,-73.92385895
12/30/2021,40.74714141,-73.88867806
12/25/2021,40.86735588,-73.92786442
12/28/2021,40.68818506,-73.92376372
12/29/2021,40.87339118,-73.88937428
12/28/2021,40.73381985,-73.87163312
12/28/2021,40.70393493,-73.9639384
12/23/2021,40.57969791,-74.10039345
12/29/2021,40.8095334,-73.93788283
12/23/2021,40.67325021,-73.7832358
12/31/2021,40.7030749,-73.80791637
12/28/2021,40.62337809,-73.98948989
12/27/2021,40.58262026,-73.9862958
12/28/2021,40.82325806,-73.88276248
12/23/2021,40.85315795,-73.90560205
12/22/2021,40.86607851,-73.89438301
12/30/2021,40.57616201,-73.95509435
12/22/2021,40.64886713,-73.9508219
12/31/2021,40.74016078,-73.97657424
12/30/2021,40.62969625,-74.01380321
12/23/2021,40.81771209,-73.91539615
12/29/2021,40.71184275,-73.99912853
12/30/2021,40.59986273,-73.94711651
12/28/2021,40.76022265,-73.82274635
12/27/2021,40.62318838,-74.14923769
12/30/2021,40.78144259,-73.98129717
12/30/2021,40.74830986,-73.8878388
12/25/2021,40.870265,-73.89835724
12/28/2021,40.7505383,-73.75619322
12/30/2021,40.7616578,-73.9212394
12/27/2021,40.63990773,-73.94985203
12/24/2021,40.80138712,-73.91258513
12/23/2021,40.85557168,-73.86766034
12/25/2021,40.73522259,-73.99840294
12/26/2021,40.62506192,-73.9217176
12/22/2021,40.74223785,-73.99119252
12/25/2021,40.59071666,-74.16578889
12/27/2021,40.69439539,-73.98062921
12/30/2021,40.61794574,-74.1313095
12/27/2021,40.67198279,-73.72799043
12/29/2021,40.73357547,-73.991955
12/24/2021,40.67057114,-73.87074188
12/25/2021,40.58815336,-74.09210721
12/22/2021,40.87419066,-73.90911578
12/30/2021,40.86185539,-73.89245919
12/27/2021,40.67000458,-73.90984821
12/28/2021,40.62714477,-74.15663531
12/27/2021,40.54728556,-74.17501491
12/24/2021,40.80176203,-73.93120433
12/24/2021,40.65950864,-73.92119781
12/23/2021,40.73975965,-74.00252386
12/26/2021,40.69315191,-73.92199466
12/29/2021,40.64247644,-73.92405376
12/25/2021,40.68032073,-73.86843356
12/22/2021,40.76650863,-73.98236272
12/28/2021,40.6333185,-73.96804057
12/30/2021,40.82853137,-73.89794763
12/29/2021,40.75047433,-73.79216632
12/30/2021,40.82963208,-73.86824312
12/22/2021,40.65958967,-73.89246448
12/30/2021,40.8532801,-73.88587249
12/26/2021,40.8464977,-73.89132741
12/28/2021,40.757839,-73.99121211
12/28/2021,40.86185539,-73.89245919
12/31/2021,40.77841252,-73.98208877
12/28/2021,40.61171147,-73.74801294
12/28/2021,40.64280873,-73.95596115
12/30/2021,40.82220728,-73.93087608
12/26/2021,40.6221539,-74.02728486
12/31/2021,40.67124653,-73.86609385
12/22/2021,40.73381985,-73.87163312
12/23/2021,40.78405987,-73.97502051
12/31/2021,40.82281267,-73.90934131
12/29/2021,40.75173837,-73.97777927
12/28/2021,40.84897697,-73.86837468
12/28/2021,40.82266035,-73.86810878
12/23/2021,40.71851433,-73.985366
12/23/2021,40.69437289,-73.95799703
12/22/2021,40.72816548,-73.99092017
12/30/2021,40.66552063,-73.95299761
12/27/2021,40.82650985,-73.89946471
12/26/2021,40.67111083,-73.91356336
12/22/2021,40.83855091,-73.90939937
12/29/2021,40.82772889,-73.88797232
12/29/2021,40.67039953,-73.95662426
12/25/2021,40.7298831,-73.98518671
12/23/2021,40.75288388,-73.98343469
12/24/2021,40.58003128,-73.96006692
12/24/2021,40.61963192,-73.95646633
12/23/2021,40.8142784,-73.91534271
12/30/2021,40.70267199,-73.81158184
12/24/2021,40.75751565,-73.96505723
12/29/2021,40.75043077,-73.98928218
12/30/2021,40.81537777,-73.95801459
12/25/2021,40.75372088,-73.87555785
12/31/2021,40.655157,-73.95463033
12/22/2021,40.8205043,-73.91282015
12/23/2021,40.75504167,-73.98663933
12/27/2021,40.75032662,-73.99111204
12/26/2021,40.76734873,-73.96089685
12/28/2021,40.56815543,-74.10710686
12/31/2021,40.59548365,-73.95765954
12/29/2021,40.86077886,-73.8587928
12/23/2021,40.83502621,-73.92819941
12/28/2021,40.7659128,-73.98094414
12/24/2021,40.71251919,-73.7814921
12/22/2021,40.83792813,-73.86020737
12/29/2021,40.63670616,-73.9229542
12/29/2021,40.74913389,-73.85625765
12/31/2021,40.82530348,-73.93114386
12/31/2021,40.75995459,-73.97083869
12/28/2021,40.83656416,-73.93933927
12/31/2021,40.73430568,-73.99369051
12/31/2021,40.69608631,-73.94643073
12/22/2021,40.82265108,-73.85360941
12/25/2021,40.83531945,-73.9420399
12/26/2021,40.7207706,-73.84643044
12/27/2021,40.86276336,-73.90108016
12/26/2021,40.88549712,-73.900446
12/22/2021,40.71856407,-73.98820145
12/24/2021,40.71870465,-74.00090331
12/29/2021,40.66919347,-73.80634492
12/25/2021,40.76437979,-73.99201626
12/29/2021,40.60567086,-73.98452281
12/24/2021,40.74866303,-73.98810951
12/23/2021,40.68165456,-73.85248756
12/30/2021,40.74333224,-73.98407582
12/19/2021,40.67110691,-73.88143296
12/23/2021,40.65277894,-73.93049301
12/31/2021,40.82108776,-73.81957097
12/30/2021,40.7013236,-73.9227605
